index,event_ts,event_id,info,event_tags,attrib_type,attrib_value,attrib_ts,attrib_tags
0,2021-04-06 19:48:45+00:00,270594,phishing domain - budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,,,,
1,2021-04-06 19:48:45+00:00,270594,phishing domain - budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,domain,budget-cleaning.com,2021-04-01 08:31:14+00:00,TELUS_TI|Smishing|cloudmark_sms
2,2021-04-06 19:48:45+00:00,270594,phishing domain - budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,url,http://budget-cleaning.com,2021-04-01 08:31:15+00:00,TELUS_TI|Smishing|cloudmark_sms
3,2021-04-06 19:48:45+00:00,270594,phishing domain - budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,text,Just finished budget-cleaning.com,2021-04-01 08:31:15+00:00,TELUS_TI|Smishing|cloudmark_sms
4,2021-04-06 19:48:45+00:00,270594,phishing domain - budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,text,"Ty, getting great response. Did budget-cleaning.com",2021-04-01 09:46:23+00:00,TELUS_TI|Smishing|cloudmark_sms
5,2021-04-06 19:48:45+00:00,270594,phishing domain - budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,text,"Yes, nothing else. see budget-cleaning.com",2021-04-01 11:38:28+00:00,TELUS_TI|Smishing|cloudmark_sms
6,2021-04-06 19:48:45+00:00,270594,phishing domain - budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,url,https://budget-cleaning.com/,2021-04-01 11:56:47+00:00,TELUS_TI|Smishing|cloudmark_sms
7,2021-04-06 19:48:45+00:00,270594,phishing domain - budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,text,"Thank you, my references: https://integrimark.ca/ - Steve at (905) 537-5983 is available as a reference. https://budget-cleaning.com/ - Nishi https://san",2021-04-01 11:56:48+00:00,TELUS_TI|Smishing|cloudmark_sms
8,2021-04-06 19:48:45+00:00,270594,phishing domain - budget-cleaning.com,TELUS_TI|cloudmark_sms|False Positive|tid: 943288,text,You get something similar to budget-cleaning.com with 1 year free hosting,2021-04-01 14:16:20+00:00,TELUS_TI|Smishing|cloudmark_sms
8,2021-04-06 19:02:54+00:00,270610,phishing domain - shortliac.us,TELUS_TI|Smishing|cloudmark_sms|sector: delivery|Validated Threat|tid: 943288,,,,
